... building the model
... training
p=0.700000
epoch 69, minibatch 3296/3296, validation error 18.633880 %
epoch 70, minibatch 3296/3296, validation error 18.142077 %
     epoch 70, minibatch 3296/3296, test error of best model 19.300538 %
epoch 71, minibatch 3296/3296, validation error 18.428962 %
epoch 72, minibatch 3296/3296, validation error 18.456284 %
epoch 73, minibatch 3296/3296, validation error 18.251366 %
epoch 74, minibatch 3296/3296, validation error 18.251366 %
epoch 75, minibatch 3296/3296, validation error 18.005464 %
     epoch 75, minibatch 3296/3296, test error of best model 19.438893 %
epoch 76, minibatch 3296/3296, validation error 17.841530 %
     epoch 76, minibatch 3296/3296, test error of best model 18.993082 %
epoch 77, minibatch 3296/3296, validation error 18.374317 %
epoch 78, minibatch 3296/3296, validation error 17.800546 %
     epoch 78, minibatch 3296/3296, test error of best model 19.235204 %
epoch 79, minibatch 3296/3296, validation error 17.882514 %
epoch 80, minibatch 3296/3296, validation error 17.814208 %
epoch 81, minibatch 3296/3296, validation error 17.459016 %
     epoch 81, minibatch 3296/3296, test error of best model 18.616449 %
epoch 82, minibatch 3296/3296, validation error 17.390710 %
     epoch 82, minibatch 3296/3296, test error of best model 18.389700 %
epoch 83, minibatch 3296/3296, validation error 17.581967 %
epoch 84, minibatch 3296/3296, validation error 17.185792 %
     epoch 84, minibatch 3296/3296, test error of best model 18.704842 %
epoch 85, minibatch 3296/3296, validation error 17.732240 %
epoch 86, minibatch 3296/3296, validation error 17.486339 %
epoch 87, minibatch 3296/3296, validation error 17.076503 %
     epoch 87, minibatch 3296/3296, test error of best model 18.293620 %
epoch 88, minibatch 3296/3296, validation error 17.636612 %
epoch 89, minibatch 3296/3296, validation error 17.431694 %
epoch 90, minibatch 3296/3296, validation error 17.486339 %
epoch 91, minibatch 3296/3296, validation error 17.663934 %
epoch 92, minibatch 3296/3296, validation error 17.021858 %
     epoch 92, minibatch 3296/3296, test error of best model 18.639508 %
epoch 93, minibatch 3296/3296, validation error 16.885246 %
     epoch 93, minibatch 3296/3296, test error of best model 18.385857 %
epoch 94, minibatch 3296/3296, validation error 17.076503 %
epoch 95, minibatch 3296/3296, validation error 17.131148 %
epoch 96, minibatch 3296/3296, validation error 16.721311 %
     epoch 96, minibatch 3296/3296, test error of best model 18.082244 %
epoch 97, minibatch 3296/3296, validation error 17.513661 %
epoch 98, minibatch 3296/3296, validation error 16.625683 %
     epoch 98, minibatch 3296/3296, test error of best model 18.155265 %
